2018-04-23 23:55:19 - Begin Training............
2018-04-24 00:10:05 -   72 - over - loss: 0.9474, acc: 85.13 | val_loss: 2.6934, val_acc: 49.10, MPCE:0.5203 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:10:17 -   73 - over - loss: 0.9084, acc: 88.97 | val_loss: 3.8327, val_acc: 30.43, MPCE:0.6917 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:10:29 -   74 - over - loss: 0.8701, acc: 90.00 | val_loss: 2.2868, val_acc: 51.66, MPCE:0.4810 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:10:41 -   75 - over - loss: 0.8848, acc: 88.46 | val_loss: 2.5339, val_acc: 47.57, MPCE:0.5433 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:10:53 -   76 - over - loss: 0.8594, acc: 90.77 | val_loss: 2.8176, val_acc: 38.87, MPCE:0.6362 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:11:05 -   77 - over - loss: 0.8941, acc: 87.44 | val_loss: 3.8167, val_acc: 28.64, MPCE:0.7268 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:11:17 -   78 - over - loss: 0.9065, acc: 88.46 | val_loss: 4.9124, val_acc: 21.74, MPCE:0.7718 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:11:28 -   79 - over - loss: 0.8836, acc: 88.46 | val_loss: 2.7005, val_acc: 42.71, MPCE:0.5777 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:11:40 -   80 - over - loss: 0.9285, acc: 85.64 | val_loss: 5.9137, val_acc: 16.11, MPCE:0.8224 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:11:52 -   81 - over - loss: 0.8923, acc: 89.74 | val_loss: 2.3901, val_acc: 40.41, MPCE:0.5467 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:12:04 -   82 - over - loss: 0.8423, acc: 90.77 | val_loss: 2.0977, val_acc: 53.45, MPCE:0.4678 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:12:16 -   83 - over - loss: 0.8780, acc: 89.23 | val_loss: 1.9826, val_acc: 49.87, MPCE:0.5094 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:12:28 -   84 - over - loss: 0.7933, acc: 91.79 | val_loss: 2.1957, val_acc: 47.31, MPCE:0.5318 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:12:40 -   85 - over - loss: 0.8069, acc: 92.05 | val_loss: 2.9106, val_acc: 38.87, MPCE:0.6172 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:12:52 -   86 - over - loss: 0.8825, acc: 88.21 | val_loss: 5.2597, val_acc: 15.35, MPCE:0.8373 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:13:04 -   87 - over - loss: 0.8291, acc: 91.79 | val_loss: 3.1399, val_acc: 37.34, MPCE:0.6360 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:13:16 -   88 - over - loss: 0.7907, acc: 93.08 | val_loss: 2.5650, val_acc: 41.69, MPCE:0.5839 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:13:28 -   89 - over - loss: 0.7892, acc: 90.51 | val_loss: 3.1693, val_acc: 38.11, MPCE:0.6033 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:13:40 -   90 - over - loss: 0.8455, acc: 87.69 | val_loss: 2.0083, val_acc: 50.38, MPCE:0.4708 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:13:52 -   91 - over - loss: 0.8822, acc: 89.49 | val_loss: 3.3220, val_acc: 33.50, MPCE:0.6589 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:14:05 -   92 - over - loss: 0.9050, acc: 85.64 | val_loss: 3.4954, val_acc: 31.97, MPCE:0.6899 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:14:17 -   93 - over - loss: 0.8177, acc: 90.00 | val_loss: 3.4466, val_acc: 32.74, MPCE:0.6640 | best_acc: 54.22, best_mpce:0.4635
2018-04-24 00:14:29 -   94 - over - loss: 0.7898, acc: 89.49 | val_loss: 1.8055, val_acc: 60.36, MPCE:0.3957 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:14:41 -   95 - over - loss: 0.7743, acc: 90.77 | val_loss: 2.1417, val_acc: 51.15, MPCE:0.4886 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:14:53 -   96 - over - loss: 0.7171, acc: 94.87 | val_loss: 2.3850, val_acc: 45.27, MPCE:0.5419 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:15:05 -   97 - over - loss: 0.7001, acc: 95.64 | val_loss: 2.7723, val_acc: 45.78, MPCE:0.5610 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:15:17 -   98 - over - loss: 0.7143, acc: 92.31 | val_loss: 3.2973, val_acc: 47.31, MPCE:0.5346 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:15:29 -   99 - over - loss: 0.7819, acc: 91.03 | val_loss: 2.5682, val_acc: 42.97, MPCE:0.5763 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:15:41 -  100 - over - loss: 0.7317, acc: 94.10 | val_loss: 1.7174, val_acc: 54.99, MPCE:0.4339 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:15:53 -  101 - over - loss: 0.7505, acc: 92.82 | val_loss: 8.0368, val_acc: 4.09, MPCE:0.9429 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:16:05 -  102 - over - loss: 0.9275, acc: 87.18 | val_loss: 15.2467, val_acc: 2.05, MPCE:0.9730 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:16:17 -  103 - over - loss: 0.8796, acc: 89.49 | val_loss: 15.3486, val_acc: 2.05, MPCE:0.9730 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:16:29 -  104 - over - loss: 0.8019, acc: 90.00 | val_loss: 4.7554, val_acc: 18.67, MPCE:0.7937 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:16:41 -  105 - over - loss: 0.7508, acc: 92.31 | val_loss: 2.8907, val_acc: 44.76, MPCE:0.5476 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:16:53 -  106 - over - loss: 0.7315, acc: 94.62 | val_loss: 2.5947, val_acc: 39.13, MPCE:0.6046 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:17:05 -  107 - over - loss: 0.6942, acc: 93.33 | val_loss: 1.7812, val_acc: 54.99, MPCE:0.4597 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:17:17 -  108 - over - loss: 0.7166, acc: 91.28 | val_loss: 1.8468, val_acc: 52.43, MPCE:0.4589 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:17:29 -  109 - over - loss: 0.7134, acc: 92.05 | val_loss: 4.0434, val_acc: 23.53, MPCE:0.7615 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:17:41 -  110 - over - loss: 0.6913, acc: 94.62 | val_loss: 2.5725, val_acc: 46.55, MPCE:0.5303 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:17:53 -  111 - over - loss: 0.8141, acc: 92.82 | val_loss: 5.1603, val_acc: 22.25, MPCE:0.7589 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:18:05 -  112 - over - loss: 0.8056, acc: 91.54 | val_loss: 4.3984, val_acc: 21.48, MPCE:0.7778 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:18:17 -  113 - over - loss: 0.7306, acc: 92.31 | val_loss: 3.6462, val_acc: 34.53, MPCE:0.6455 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:18:29 -  114 - over - loss: 0.6829, acc: 94.62 | val_loss: 2.7516, val_acc: 43.48, MPCE:0.5573 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:18:41 -  115 - over - loss: 0.7053, acc: 94.10 | val_loss: 2.9024, val_acc: 36.83, MPCE:0.6278 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:18:53 -  116 - over - loss: 0.6856, acc: 92.56 | val_loss: 3.3328, val_acc: 31.71, MPCE:0.6794 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:19:05 -  117 - over - loss: 0.7145, acc: 91.54 | val_loss: 1.8769, val_acc: 58.31, MPCE:0.3983 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:19:17 -  118 - over - loss: 0.7263, acc: 93.08 | val_loss: 1.9213, val_acc: 49.36, MPCE:0.5013 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:19:29 -  119 - over - loss: 0.7109, acc: 93.59 | val_loss: 2.1374, val_acc: 47.57, MPCE:0.5176 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:19:41 -  120 - over - loss: 0.6984, acc: 95.38 | val_loss: 3.2705, val_acc: 41.18, MPCE:0.5830 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:19:53 -  121 - over - loss: 0.7251, acc: 91.79 | val_loss: 3.0981, val_acc: 37.60, MPCE:0.6236 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:20:05 -  122 - over - loss: 0.7176, acc: 92.56 | val_loss: 5.1405, val_acc: 26.34, MPCE:0.7345 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:20:17 -  123 - over - loss: 0.7244, acc: 92.56 | val_loss: 3.9193, val_acc: 26.85, MPCE:0.7147 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:20:29 -  124 - over - loss: 0.6739, acc: 94.10 | val_loss: 2.3186, val_acc: 47.83, MPCE:0.5076 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:20:41 -  125 - over - loss: 0.6698, acc: 94.10 | val_loss: 4.0676, val_acc: 21.74, MPCE:0.7815 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:20:53 -  126 - over - loss: 0.6399, acc: 95.13 | val_loss: 1.7469, val_acc: 58.57, MPCE:0.4326 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:21:05 -  127 - over - loss: 0.6876, acc: 93.59 | val_loss: 3.0485, val_acc: 38.87, MPCE:0.6462 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:21:17 -  128 - over - loss: 0.6921, acc: 92.31 | val_loss: 2.1291, val_acc: 50.64, MPCE:0.5224 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:21:29 -  129 - over - loss: 0.6300, acc: 93.85 | val_loss: 2.3011, val_acc: 50.38, MPCE:0.5104 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:21:41 -  130 - over - loss: 0.6891, acc: 92.05 | val_loss: 2.8353, val_acc: 39.90, MPCE:0.5973 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:21:53 -  131 - over - loss: 0.6891, acc: 94.62 | val_loss: 2.8811, val_acc: 41.43, MPCE:0.5605 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:22:05 -  132 - over - loss: 0.6485, acc: 93.85 | val_loss: 1.8622, val_acc: 59.85, MPCE:0.4292 | best_acc: 60.36, best_mpce:0.3957
2018-04-24 00:22:17 -  133 - over - loss: 0.6427, acc: 94.36 | val_loss: 1.7019, val_acc: 64.96, MPCE:0.3606 | best_acc: 64.96, best_mpce:0.3606
2018-04-24 00:22:29 -  134 - over - loss: 0.6536, acc: 93.85 | val_loss: 1.6970, val_acc: 59.59, MPCE:0.4168 | best_acc: 64.96, best_mpce:0.3606
2018-04-24 00:22:41 -  135 - over - loss: 0.6089, acc: 95.38 | val_loss: 3.2862, val_acc: 35.81, MPCE:0.6463 | best_acc: 64.96, best_mpce:0.3606
2018-04-24 00:22:53 -  136 - over - loss: 0.6239, acc: 93.85 | val_loss: 2.1217, val_acc: 43.99, MPCE:0.5437 | best_acc: 64.96, best_mpce:0.3606
2018-04-24 00:23:05 -  137 - over - loss: 0.6179, acc: 96.92 | val_loss: 1.6094, val_acc: 63.43, MPCE:0.3454 | best_acc: 64.96, best_mpce:0.3454
2018-04-24 00:23:17 -  138 - over - loss: 0.6004, acc: 94.87 | val_loss: 2.3595, val_acc: 50.38, MPCE:0.4738 | best_acc: 64.96, best_mpce:0.3454
2018-04-24 00:23:29 -  139 - over - loss: 0.6271, acc: 94.87 | val_loss: 1.3377, val_acc: 70.33, MPCE:0.2890 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:23:41 -  140 - over - loss: 0.6272, acc: 95.13 | val_loss: 1.6019, val_acc: 57.54, MPCE:0.4090 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:23:53 -  141 - over - loss: 0.6176, acc: 94.62 | val_loss: 1.8864, val_acc: 55.75, MPCE:0.4523 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:24:05 -  142 - over - loss: 0.6017, acc: 94.87 | val_loss: 1.7186, val_acc: 60.87, MPCE:0.4007 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:24:17 -  143 - over - loss: 0.7014, acc: 92.31 | val_loss: 13.7212, val_acc: 2.05, MPCE:0.9730 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:24:29 -  144 - over - loss: 0.7394, acc: 92.82 | val_loss: 12.4117, val_acc: 2.05, MPCE:0.9730 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:24:41 -  145 - over - loss: 0.6426, acc: 95.90 | val_loss: 3.4102, val_acc: 29.41, MPCE:0.6915 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:24:53 -  146 - over - loss: 0.6479, acc: 94.36 | val_loss: 1.3385, val_acc: 66.24, MPCE:0.3314 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:25:05 -  147 - over - loss: 0.5911, acc: 96.92 | val_loss: 1.5892, val_acc: 58.82, MPCE:0.4022 | best_acc: 70.33, best_mpce:0.2890
2018-04-24 00:25:17 -  148 - over - loss: 0.5925, acc: 96.15 | val_loss: 1.9292, val_acc: 56.01, MPCE:0.4524 | best_acc: 70.33, best_mpce:0.2890
