2018-04-24 08:57:24 - Begin Training............
2018-04-24 09:09:41 -   57 - over - loss: 0.4841, acc: 100.00 | val_loss: 0.6952, val_acc: 99.19, MPCE:0.0082 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:09:53 -   58 - over - loss: 0.4493, acc: 100.00 | val_loss: 0.7016, val_acc: 100.00, MPCE:0.0000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:10:06 -   59 - over - loss: 0.4389, acc: 100.00 | val_loss: 0.7274, val_acc: 97.79, MPCE:0.0219 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:10:18 -   60 - over - loss: 0.4568, acc: 100.00 | val_loss: 0.7222, val_acc: 97.10, MPCE:0.0289 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:10:31 -   61 - over - loss: 0.4724, acc: 100.00 | val_loss: 0.6855, val_acc: 99.65, MPCE:0.0035 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:10:43 -   62 - over - loss: 0.4333, acc: 100.00 | val_loss: 0.6663, val_acc: 100.00, MPCE:0.0000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:10:56 -   63 - over - loss: 0.4352, acc: 100.00 | val_loss: 0.6698, val_acc: 99.42, MPCE:0.0058 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:11:08 -   64 - over - loss: 0.4233, acc: 100.00 | val_loss: 0.6944, val_acc: 96.75, MPCE:0.0327 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:11:21 -   65 - over - loss: 0.4190, acc: 100.00 | val_loss: 0.7248, val_acc: 90.36, MPCE:0.0970 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:11:33 -   66 - over - loss: 0.4233, acc: 100.00 | val_loss: 0.7416, val_acc: 87.34, MPCE:0.1273 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:11:46 -   67 - over - loss: 0.4363, acc: 100.00 | val_loss: 0.7449, val_acc: 86.76, MPCE:0.1332 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:11:58 -   68 - over - loss: 0.4085, acc: 100.00 | val_loss: 0.7361, val_acc: 87.92, MPCE:0.1215 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:12:11 -   69 - over - loss: 0.4063, acc: 100.00 | val_loss: 0.7254, val_acc: 88.85, MPCE:0.1121 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:12:23 -   70 - over - loss: 0.4102, acc: 100.00 | val_loss: 0.7105, val_acc: 89.31, MPCE:0.1075 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:12:36 -   71 - over - loss: 0.4139, acc: 100.00 | val_loss: 0.7080, val_acc: 89.08, MPCE:0.1098 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:12:48 -   72 - over - loss: 0.4027, acc: 100.00 | val_loss: 0.7051, val_acc: 89.08, MPCE:0.1098 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:13:01 -   73 - over - loss: 0.3945, acc: 100.00 | val_loss: 0.7031, val_acc: 88.50, MPCE:0.1157 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:13:13 -   74 - over - loss: 0.5925, acc: 86.96 | val_loss: 0.7421, val_acc: 85.25, MPCE:0.1484 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:13:26 -   75 - over - loss: 0.5120, acc: 95.65 | val_loss: 0.7398, val_acc: 82.58, MPCE:0.1752 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:13:38 -   76 - over - loss: 0.4159, acc: 100.00 | val_loss: 0.7306, val_acc: 82.93, MPCE:0.1717 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:13:51 -   77 - over - loss: 0.4828, acc: 100.00 | val_loss: 0.7256, val_acc: 84.32, MPCE:0.1577 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:14:03 -   78 - over - loss: 0.5280, acc: 100.00 | val_loss: 0.7264, val_acc: 83.86, MPCE:0.1624 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:14:16 -   79 - over - loss: 0.4963, acc: 100.00 | val_loss: 0.7407, val_acc: 82.58, MPCE:0.1752 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:14:28 -   80 - over - loss: 0.4793, acc: 100.00 | val_loss: 0.7382, val_acc: 83.16, MPCE:0.1694 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:14:41 -   81 - over - loss: 0.5699, acc: 95.65 | val_loss: 0.7112, val_acc: 87.80, MPCE:0.1227 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:14:53 -   82 - over - loss: 0.4609, acc: 100.00 | val_loss: 0.6885, val_acc: 89.31, MPCE:0.1075 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:15:06 -   83 - over - loss: 0.4600, acc: 100.00 | val_loss: 0.6700, val_acc: 90.13, MPCE:0.0993 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:15:18 -   84 - over - loss: 0.4452, acc: 100.00 | val_loss: 0.6646, val_acc: 90.24, MPCE:0.0981 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:15:31 -   85 - over - loss: 0.4376, acc: 100.00 | val_loss: 0.6789, val_acc: 89.55, MPCE:0.1051 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:15:43 -   86 - over - loss: 0.4827, acc: 95.65 | val_loss: 0.7068, val_acc: 86.06, MPCE:0.1402 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:15:56 -   87 - over - loss: 0.4027, acc: 100.00 | val_loss: 0.7328, val_acc: 81.42, MPCE:0.1869 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:16:08 -   88 - over - loss: 0.4018, acc: 100.00 | val_loss: 0.7557, val_acc: 77.58, MPCE:0.2255 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:16:21 -   89 - over - loss: 0.4246, acc: 100.00 | val_loss: 0.7759, val_acc: 74.10, MPCE:0.2605 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:16:33 -   90 - over - loss: 0.4119, acc: 100.00 | val_loss: 0.7956, val_acc: 71.43, MPCE:0.2874 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:16:46 -   91 - over - loss: 0.3958, acc: 100.00 | val_loss: 0.8098, val_acc: 70.03, MPCE:0.3014 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:16:59 -   92 - over - loss: 0.3992, acc: 100.00 | val_loss: 0.8204, val_acc: 69.45, MPCE:0.3072 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:17:11 -   93 - over - loss: 0.4159, acc: 100.00 | val_loss: 0.7909, val_acc: 74.80, MPCE:0.2535 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:17:24 -   94 - over - loss: 0.4037, acc: 100.00 | val_loss: 0.6970, val_acc: 84.79, MPCE:0.1530 | best_acc: 100.00, best_mpce:0.0000
